Entity,Code,Year,Number of reported natural disasters
All disasters,,1970,83
All disasters,,1971,67
All disasters,,1972,69
All disasters,,1973,76
All disasters,,1974,75
All disasters,,1975,70
All disasters,,1976,88
All disasters,,1977,120
All disasters,,1978,115
All disasters,,1979,116
All disasters,,1980,124
All disasters,,1981,139
All disasters,,1982,164
All disasters,,1983,223
All disasters,,1984,164
All disasters,,1985,173
All disasters,,1986,147
All disasters,,1987,183
All disasters,,1988,199
All disasters,,1989,172
All disasters,,1990,278
All disasters,,1991,236
All disasters,,1992,220
All disasters,,1993,268
All disasters,,1994,252
All disasters,,1995,254
All disasters,,1996,231
All disasters,,1997,263
All disasters,,1998,300
All disasters,,1999,343
All disasters,,2000,424
All disasters,,2001,395
All disasters,,2002,438
All disasters,,2003,373
All disasters,,2004,368
All disasters,,2005,435
All disasters,,2006,430
All disasters,,2007,415
All disasters,,2008,367
All disasters,,2009,368
All disasters,,2010,415
All disasters,,2011,351
All disasters,,2012,364
All disasters,,2013,340
All disasters,,2014,329
All disasters,,2015,404
All disasters,,2016,349
All disasters,,2017,364
All disasters,,2018,323
All disasters,,2019,413
All disasters,,2020,407
All disasters,,2021,441
All disasters,,2022,440
All disasters,,2023,410
All disasters,,2024,83
Drought,,1970,9
Drought,,1971,14
Drought,,1972,14
Drought,,1973,15
Drought,,1974,13
Drought,,1975,12
Drought,,1976,9
Drought,,1977,20
Drought,,1978,15
Drought,,1979,14
Drought,,1980,21
Drought,,1981,23
Drought,,1982,29
Drought,,1983,54
Drought,,1984,30
Drought,,1985,20
Drought,,1986,6
Drought,,1987,16
Drought,,1988,21
Drought,,1989,9
Drought,,1990,16
Drought,,1991,27
Drought,,1992,27
Drought,,1993,18
Drought,,1994,20
Drought,,1995,14
Drought,,1996,9
Drought,,1997,20
Drought,,1998,29
Drought,,1999,29
Drought,,2000,42
Drought,,2001,42
Drought,,2002,38
Drought,,2003,23
Drought,,2004,19
Drought,,2005,25
Drought,,2006,20
Drought,,2007,12
Drought,,2008,19
Drought,,2009,31
Drought,,2010,28
Drought,,2011,25
Drought,,2012,31
Drought,,2013,15
Drought,,2014,21
Drought,,2015,39
Drought,,2016,32
Drought,,2017,28
Drought,,2018,20
Drought,,2019,28
Drought,,2020,20
Drought,,2021,25
Drought,,2022,40
Drought,,2023,17
Drought,,2024,7
Dry mass movement,,1980,1
Dry mass movement,,1982,1
Dry mass movement,,1983,3
Dry mass movement,,1985,2
Dry mass movement,,1987,1
Dry mass movement,,1988,3
Dry mass movement,,1989,3
Dry mass movement,,1990,2
Dry mass movement,,1991,3
Dry mass movement,,1992,4
Dry mass movement,,1993,2
Dry mass movement,,2000,1
Dry mass movement,,2002,1
Dry mass movement,,2004,1
Dry mass movement,,2006,1
Dry mass movement,,2008,3
Dry mass movement,,2009,1
Dry mass movement,,2012,1
Dry mass movement,,2013,1
Dry mass movement,,2015,1
Dry mass movement,,2017,1
Dry mass movement,,2018,1
Earthquake,,1970,12
Earthquake,,1971,6
Earthquake,,1972,7
Earthquake,,1973,8
Earthquake,,1974,6
Earthquake,,1975,5
Earthquake,,1976,21
Earthquake,,1977,14
Earthquake,,1978,9
Earthquake,,1979,22
Earthquake,,1980,17
Earthquake,,1981,15
Earthquake,,1982,15
Earthquake,,1983,26
Earthquake,,1984,13
